1	14.088547	0.748600	5.908700
2	9.044617	0.295700	5.936085
3	4.981365	0.190100	6.177279
4	3.338002	0.141800	6.696024
5	2.727544	0.125900	7.113860
6	2.410652	0.116700	6.782661
7	1.974718	0.102400	6.806751
8	1.765022	0.103300	5.831766
9	1.524746	0.095300	5.674658
10	1.487186	0.088900	7.169901
11	1.420268	0.093100	7.907859
12	1.332131	0.088300	5.638124
13	1.245940	0.084500	8.106111
14	1.234384	0.084800	8.097221
15	1.102296	0.079200	8.500538
16	1.188270	0.082600	8.337196
17	1.218003	0.084100	8.310568
18	1.057926	0.078700	10.401573
19	1.145959	0.079400	9.456535
20	1.053703	0.077000	7.573987
