1	18.764568	0.732300	6.451206
2	5.864882	0.314200	5.985384
3	3.705831	0.205800	7.911874
4	2.519230	0.160500	5.920455
5	1.753756	0.125200	5.886881
6	1.464071	0.114700	5.531595
7	1.238016	0.104800	5.919749
8	1.064377	0.093400	5.568123
9	0.937477	0.090500	5.879934
10	0.863826	0.090000	5.635860
11	0.796265	0.082600	5.900088
12	0.762229	0.084500	6.043916
13	0.706771	0.079100	6.116605
14	0.672471	0.074500	7.300552
15	0.632179	0.070200	6.135633
16	0.593954	0.069900	5.871226
17	0.617089	0.069000	5.578706
18	0.598124	0.065700	5.793917
19	0.573462	0.067800	5.865445
20	0.547693	0.063700	5.852276
