1	9.907679	0.775000	6.250363
2	4.778265	0.273400	6.361791
3	3.488046	0.196700	6.427906
4	2.340574	0.141200	5.895559
5	1.859699	0.119600	6.746963
6	1.463118	0.107600	5.609044
7	1.222693	0.092500	6.510899
8	1.053599	0.087200	5.783561
9	0.898310	0.081300	5.858486
10	0.823039	0.079100	6.641074
11	0.767050	0.075200	5.699888
12	0.688834	0.069500	5.832564
13	0.660846	0.068200	6.229001
14	0.603667	0.065700	6.407683
15	0.551008	0.064300	7.129862
16	0.583514	0.063600	6.635150
17	0.524340	0.062900	6.374387
18	0.511783	0.058900	6.158710
19	0.540435	0.058000	6.133614
20	0.506325	0.056800	5.923047
